seed,model,failure_rate,nose_level,avg_makespan,std_makespan,avg_energy,std_energy,success_episodes
114514,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_8_seed_114514\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,315.3078151336702,5.684341886080802e-14,30441.34989552979,3.637978807091713e-12,10
114514,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_8_seed_114514\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.1,335.6641437363775,0.6395859985980029,29401.14690220717,55.71371103262735,10
114514,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_8_seed_114514\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.3,387.58131274750036,4.056289318513671,28622.98183463796,62.37890321857015,10
114514,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_8_seed_114514\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.5,446.4666810681574,5.156135794769726,28711.779243028304,103.76674943920166,10
114514,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_8_seed_114514\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,315.3078151336702,5.684341886080802e-14,30441.34989552979,3.637978807091713e-12,10
114514,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_8_seed_114514\ddpg_lirl_pi_mu_20250921_085501.pth,0.1,0.0,371.2016360280668,20.108443168317073,31582.325239261758,488.6138657838202,10
114514,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_8_seed_114514\ddpg_lirl_pi_mu_20250921_085501.pth,0.3,0.0,360.82435614869746,13.907775658956925,31385.868232496705,388.20474159095244,10
114514,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_8_seed_114514\ddpg_lirl_pi_mu_20250921_085501.pth,0.5,0.0,360.42066377789325,9.479822340215023,31424.791886928037,229.11015196375706,10
2025,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_9_seed_2025\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,322.7302423501277,0.0,30300.270287671454,7.275957614183426e-12,10
2025,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_9_seed_2025\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.1,344.1982191831166,1.2475204364783314,29309.642230710004,42.379162315217485,10
2025,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_9_seed_2025\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.3,397.6203014823177,3.551666576958861,28671.405966554506,109.9116935916157,10
2025,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_9_seed_2025\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.5,453.5568990918332,4.84897305951887,28725.104066085623,106.11813940531964,10
2025,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_9_seed_2025\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,322.7302423501277,0.0,30300.270287671454,7.275957614183426e-12,10
2025,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_9_seed_2025\ddpg_lirl_pi_mu_20250921_085501.pth,0.1,0.0,379.23627338168507,17.202283891374286,31473.29048555547,451.4604443420373,10
2025,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_9_seed_2025\ddpg_lirl_pi_mu_20250921_085501.pth,0.3,0.0,376.47148309015506,11.061368516737502,31452.133233225217,211.2261991286075,10
2025,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_9_seed_2025\ddpg_lirl_pi_mu_20250921_085501.pth,0.5,0.0,376.3242007482915,11.305896187445844,31463.24390685819,220.61466668146113,10
